county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_isa,vap_white.uss_16_dem_bar,vap_black.uss_16_rep_isa,vap_black.uss_16_dem_bar,vap_hisp.uss_16_rep_isa,vap_hisp.uss_16_dem_bar,vap_asian.uss_16_rep_isa,vap_asian.uss_16_dem_bar,vap_aian.uss_16_rep_isa,vap_aian.uss_16_dem_bar,vap_oth_b.uss_16_rep_isa,vap_oth_b.uss_16_dem_bar,vap_white.gov_18_rep_kem,vap_white.gov_18_dem_abr,vap_black.gov_18_rep_kem,vap_black.gov_18_dem_abr,vap_hisp.gov_18_rep_kem,vap_hisp.gov_18_dem_abr,vap_asian.gov_18_rep_kem,vap_asian.gov_18_dem_abr,vap_aian.gov_18_rep_kem,vap_aian.gov_18_dem_abr,vap_oth_b.gov_18_rep_kem,vap_oth_b.gov_18_dem_abr,vap_white.atg_18_rep_car,vap_white.atg_18_dem_bai,vap_black.atg_18_rep_car,vap_black.atg_18_dem_bai,vap_hisp.atg_18_rep_car,vap_hisp.atg_18_dem_bai,vap_asian.atg_18_rep_car,vap_asian.atg_18_dem_bai,vap_aian.atg_18_rep_car,vap_aian.atg_18_dem_bai,vap_oth_b.atg_18_rep_car,vap_oth_b.atg_18_dem_bai,vap_white.sos_18_rep_raf,vap_white.sos_18_dem_bar,vap_black.sos_18_rep_raf,vap_black.sos_18_dem_bar,vap_hisp.sos_18_rep_raf,vap_hisp.sos_18_dem_bar,vap_asian.sos_18_rep_raf,vap_asian.sos_18_dem_bar,vap_aian.sos_18_rep_raf,vap_aian.sos_18_dem_bar,vap_oth_b.sos_18_rep_raf,vap_oth_b.sos_18_dem_bar,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_per,vap_white.uss_20_dem_oss,vap_black.uss_20_rep_per,vap_black.uss_20_dem_oss,vap_hisp.uss_20_rep_per,vap_hisp.uss_20_dem_oss,vap_asian.uss_20_rep_per,vap_asian.uss_20_dem_oss,vap_aian.uss_20_rep_per,vap_aian.uss_20_dem_oss,vap_oth_b.uss_20_rep_per,vap_oth_b.uss_20_dem_oss,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Appling County,13001000002,0.6477586196359356,0.3522413803640644,0.13864979643704486,0.8613502035629551,0.5413367602452338,0.4586632397547662,0.5133059055375108,0.4866940944624892,0.48517616279517256,0.5148238372048274,0.49295965113810714,0.5070403488618929,0.8031051764069745,0.19689482359302551,0.1583488124916833,0.8416511875083167,0.5510834715026314,0.44891652849736863,0.5137024964779415,0.48629750352205847,0.4912026906245099,0.5087973093754901,0.5281482785138163,0.4718517214861837,0.5613717372735672,0.4386282627264329,0.15552495276316355,0.8444750472368364,0.5448105679977516,0.4551894320022484,0.5166003101236765,0.48339968987632354,0.5013997365757549,0.498600263424245,0.5277694678128815,0.47223053218711847,0.635544779894135,0.364455220105865,0.14855525778253573,0.8514447422174642,0.48101352033576195,0.518986479664238,0.5282470530579013,0.4717529469420987,0.4953002706007148,0.5046997293992852,0.4993639356337553,0.5006360643662446,0.5921861627183187,0.4078138372816813,0.11645299440931028,0.8835470055906897,0.3931793063575355,0.6068206936424645,0.49800133380593714,0.5019986661940629,0.4926607736622103,0.5073392263377897,0.4726628904399795,0.5273371095600204,0.653706609110986,0.34629339088901406,0.1486474552782504,0.8513525447217496,0.4957694382583899,0.5042305617416101,0.5181805106354652,0.4818194893645349,0.4904369081165997,0.5095630918834003,0.4989502284075986,0.5010497715924014,0.6921793979093955,0.3078206020906044,0.13404990346822682,0.8659500965317731,0.4776569949486838,0.5223430050513163,0.5048171984473087,0.4951828015526913,0.4895265610658001,0.5104734389341998,0.4929241546897759,0.5070758453102241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,1300100001B,0.9406170220242523,0.05938297797574761,0.3232462427346716,0.6767537572653284,0.5850223437610511,0.4149776562389489,0.5130804909553128,0.4869195090446871,0.48033007058249017,0.5196699294175099,0.48248082793544905,0.5175191720645509,0.9438690398837126,0.0561309601162874,0.36348139026176846,0.6365186097382316,0.5822958455472322,0.41770415445276776,0.5170111397838342,0.4829888602161658,0.4840416903700897,0.5159583096299103,0.5090171037347461,0.490982896265254,0.961142391650852,0.03885760834914798,0.333095131570392,0.66690486842960806,0.5703174287005588,0.4296825712994411,0.5113246521259738,0.4886753478740262,0.5092382946023888,0.4907617053976112,0.5015234979620852,0.4984765020379148,0.9351477261379042,0.06485227386209583,0.3531328911822909,0.6468671088177091,0.5335670650537622,0.46643293494623783,0.5223244774460504,0.4776755225539496,0.491816152043192,0.508183847956808,0.4881934372036354,0.5118065627963646,0.8694884304155437,0.13051156958445628,0.3226249390817691,0.677375060918231,0.4530058429799119,0.5469941570200881,0.5068739733824094,0.4931260266175907,0.49619703100467,0.5038029689953301,0.4762651239545714,0.5237348760454287,0.9401007303062924,0.05989926969370773,0.35353160227511926,0.6464683977248807,0.5443319527726789,0.455668047227321,0.5210328331484213,0.47896716685157864,0.48999409107787417,0.5100059089221258,0.5025280534778345,0.49747194652216553,0.9163913923845654,0.08360860761543465,0.3448845080861061,0.6551154919138938,0.5381353142066977,0.4618646857933024,0.505111713853026,0.494888286146974,0.4872290616421795,0.5127709383578205,0.494417149262663,0.505582850737337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,1300100001C,0.9845431257151356,0.01545687428486425,0.41201524375499055,0.5879847562450095,0.6517961762961025,0.34820382370389746,0.5216152684373296,0.4783847315626704,0.4856066917738057,0.5143933082261943,0.5181148138648354,0.4818851861351646,0.9784390579405434,0.02156094205945653,0.3957009235852666,0.6042990764147333,0.635232835368384,0.3647671646316159,0.5210648347047034,0.47893516529529656,0.48379981308621856,0.5162001869137814,0.5383225700675999,0.4616774299324002,0.9863622063300036,0.01363779366999643,0.4358614740858698,0.5641385259141302,0.6459296101648484,0.35407038983515154,0.5161027868115148,0.4838972131884851,0.5085600618811248,0.4914399381188751,0.5487567045149843,0.4512432954850158,0.9769182065436678,0.02308179345633226,0.3792805363951198,0.6207194636048802,0.5821186340214801,0.4178813659785199,0.5322856069284734,0.4677143930715266,0.4924870589660903,0.5075129410339096,0.5175432976198096,0.4824567023801905,0.8894972607903344,0.11050273920966563,0.29631733939314436,0.7036826606068556,0.4448342372949208,0.5551657627050792,0.5088716797363055,0.49112832026369446,0.4940356232436865,0.5059643767563136,0.4861212953021051,0.5138787046978949,0.986241538970234,0.01375846102976582,0.492984293761849,0.5070157062381511,0.628987921761745,0.37101207823825494,0.5195803736977018,0.4804196263022981,0.4939309150898333,0.5060690849101668,0.5351848329542189,0.4648151670457811,0.9872380595253216,0.01276194047467826,0.4781142901740024,0.5218857098259977,0.621615276557919,0.3783847234420809,0.5060378654763817,0.4939621345236183,0.48882625798786944,0.5111737420121306,0.5228861613090593,0.4771138386909408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,1300100003C,0.9443258833075372,0.05567411669246289,0.2801864216671609,0.7198135783328391,0.6288451984584884,0.3711548015415117,0.5228558635759359,0.47714413642406406,0.48524238256317315,0.5147576174368269,0.5095275559256605,0.49047244407433954,0.9503524368810284,0.04964756311897161,0.39350343863614906,0.606496561363851,0.6379971909136861,0.3620028090863138,0.5267431686287798,0.4732568313712202,0.47877628195739447,0.5212237180426055,0.5367651385968701,0.4632348614031298,0.9483380827348692,0.0516619172651309,0.3745477692263073,0.6254522307736927,0.6337200605059379,0.3662799394940621,0.5186753537461042,0.4813246462538958,0.5018884814214214,0.4981115185785786,0.5395466865921963,0.4604533134078037,0.9489314131330332,0.0510685868669667,0.3529376573289234,0.6470623426710767,0.574626829058547,0.42537317094145305,0.5314006523624936,0.4685993476375064,0.4932868623647622,0.5067131376352377,0.5136128869947649,0.486387113005235,0.8945249954658238,0.1054750045341762,0.293859059896989,0.706140940103011,0.4499343645709252,0.5500656354290748,0.5031628378496554,0.4968371621503445,0.48960236044406624,0.5103976395559338,0.4839732922593251,0.5160267077406749,0.9362386332596322,0.06376136674036784,0.28486331303836565,0.7151366869616343,0.571760577227083,0.42823942277291704,0.521185225202487,0.47881477479751294,0.49427981863184794,0.505720181368152,0.5179924502216071,0.4820075497783929,0.9390121292706314,0.06098787072936861,0.280820662297906,0.7191793377020941,0.555332076181885,0.44466792381811504,0.5115511034079956,0.4884488965920044,0.490627447270408,0.509372552729592,0.5054096011428431,0.49459039885715694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,1300100004B,0.9954451309745436,0.00455486902545627,0.4511903957565035,0.5488096042434965,0.7175699578455143,0.28243004215448575,0.534842621797997,0.4651573782020028,0.4920786079473743,0.5079213920526258,0.5586714247351418,0.4413285752648583,0.9968275910347696,0.00317240896523037,0.6155343972075892,0.3844656027924109,0.7788927438854258,0.2211072561145741,0.538910284771709,0.4610897152282909,0.5003551074156017,0.49964489258439826,0.6278707762108953,0.3721292237891047,0.997923722922626,0.00207627707737414,0.6247792529613836,0.3752207470386164,0.7875048375995456,0.21249516240045435,0.5412614886089742,0.4587385113910258,0.5162033683965165,0.4837966316034835,0.6328798288931166,0.3671201711068832,0.9951955382219716,0.00480446177802844,0.5151195989234337,0.4848804010765662,0.6837823931085293,0.3162176068914707,0.5493598976492543,0.45064010235074553,0.5036327392842217,0.4963672607157784,0.5713747788417898,0.4286252211582102,0.958384371593645,0.04161562840635503,0.30961541522027247,0.6903845847797275,0.44994613598804023,0.5500538640119598,0.4980964327277098,0.5019035672722901,0.49128216680800096,0.508717833191999,0.47966078937359474,0.5203392106264052,0.9958587869860004,0.00414121301399955,0.5036185845910265,0.4963814154089735,0.6839890107314186,0.3160109892685814,0.5442899303318033,0.4557100696681965,0.4966995898102241,0.5033004101897759,0.573857549479427,0.4261424505205728,0.99500572448099,0.00499427551900987,0.46308322857776074,0.5369167714222393,0.6684638854807721,0.33153611451922793,0.5273026132143207,0.4726973867856792,0.4961727830432245,0.5038272169567756,0.5553722691455324,0.4446277308544674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,1300100004D,0.9837705740974314,0.01622942590256886,0.3873642437186325,0.6126357562813675,0.7132596082170666,0.2867403917829334,0.5279007975091102,0.47209920249088977,0.4879669551153951,0.5120330448846049,0.5077792905451921,0.4922207094548079,0.9789479247610218,0.0210520752389784,0.41904110645352544,0.5809588935464746,0.6879183231734154,0.31208167682658455,0.5253238199854192,0.4746761800145808,0.48796968031723137,0.5120303196827686,0.5346867073007868,0.4653132926992132,0.9881364022652884,0.01186359773471186,0.4169697704900123,0.5830302295099877,0.7543025659137864,0.24569743408621364,0.5250281320740549,0.47497186792594515,0.5070648538761073,0.4929351461238927,0.5472077272051845,0.45279227279481554,0.9801087424508286,0.01989125754917161,0.4087489316245142,0.5912510683754858,0.6591803036611315,0.3408196963388686,0.5399584544459517,0.46004154555404825,0.4939004505760745,0.5060995494239254,0.5125522604931293,0.4874477395068707,0.9560106117754162,0.04398938822458401,0.34379282432583463,0.6562071756741654,0.4959400206817245,0.5040599793182755,0.5254945877666449,0.474505412233355,0.49080705510848904,0.509192944891511,0.48592124907299966,0.5140787509270003,0.9768990767947991,0.02310092320520091,0.392841063160635,0.6071589368393651,0.6163925702791815,0.3836074297208185,0.5241105195684562,0.47588948043154383,0.4936508167453591,0.5063491832546408,0.5194451193921116,0.4805548806078884,0.9773840033080996,0.02261599669190077,0.38424080323503806,0.6157591967649619,0.6053412894221778,0.39465871057782215,0.512354837459081,0.48764516254091905,0.4928397276478119,0.5071602723521881,0.5082076160797145,0.4917923839202855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,1300100005A,0.9813778658531276,0.01862213414687235,0.39856869302210074,0.6014313069778993,0.7437607352824042,0.25623926471759584,0.522102779075417,0.4778972209245829,0.4833829812455443,0.5166170187544556,0.5178272765966102,0.4821727234033898,0.9833247348637086,0.01667526513629136,0.4780674882124878,0.5219325117875122,0.7751109389168406,0.22488906108315945,0.5221665926901575,0.4778334073098425,0.479057645848471,0.520942354151529,0.551072096247374,0.448927903752626,0.9818138463081388,0.01818615369186114,0.4046542346732046,0.5953457653267954,0.690955313428905,0.30904468657109496,0.5201481106992845,0.47985188930071554,0.5100380814728832,0.4899619185271168,0.5390867071557557,0.4609132928442444,0.967496355985665,0.03250364401433506,0.39793584801385634,0.6020641519861437,0.6073715567066517,0.39262844329334834,0.5254650316072573,0.4745349683927426,0.4948901369490469,0.5051098630509532,0.5155405359557742,0.4844594640442258,0.9245645677554388,0.07543543224456126,0.3157339960794328,0.6842660039205672,0.4409858686596938,0.5590141313403062,0.5048125955441001,0.4951874044558999,0.4972961492260039,0.5027038507739962,0.4891298630537152,0.5108701369462848,0.968127847608022,0.03187215239197797,0.3942680592504839,0.6057319407495161,0.6143717666815016,0.3856282333184984,0.5207772475137721,0.4792227524862279,0.4895182939973635,0.5104817060026364,0.525002599494527,0.47499740050547307,0.9697258352145798,0.03027416478542021,0.3709959918986218,0.6290040081013781,0.598277398571569,0.401722601428431,0.5066161928844034,0.4933838071155966,0.4908517246431427,0.5091482753568572,0.5163800723193179,0.48361992768068207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,1300100005B,0.942575036720456,0.05742496327954395,0.29696941129028226,0.7030305887097178,0.5644761273946949,0.4355238726053051,0.5199422323706521,0.480057767629348,0.4818457049085882,0.5181542950914119,0.4948221160441908,0.5051778839558092,0.945134466841528,0.05486553315847198,0.3255506090346409,0.6744493909653592,0.564246863383168,0.435753136616832,0.5106619850756726,0.4893380149243274,0.47564207614648,0.52435792385352,0.5258067855435201,0.47419321445647983,0.95981367395794,0.04018632604206002,0.30258791324213236,0.6974120867578676,0.5500564621745377,0.4499435378254623,0.5154961738158718,0.4845038261841282,0.5001208131506935,0.49987918684930654,0.5237032177614153,0.47629678223858474,0.9369582378620448,0.06304176213795518,0.30623664444359255,0.6937633555564074,0.49841772460374906,0.501582275396251,0.5329896867877881,0.4670103132122118,0.4898401846859006,0.5101598153140994,0.4982256524194219,0.5017743475805778,0.8654981128440583,0.13450188715594166,0.30716007366498355,0.6928399263350165,0.4358183002240485,0.5641816997759516,0.5058345925734654,0.4941654074265346,0.4936357779629903,0.5063642220370097,0.48364778622158067,0.5163522137784191,0.932866842042892,0.06713315795710807,0.3266240913436487,0.6733759086563513,0.5248669110547958,0.4751330889452042,0.5177559271916184,0.4822440728083816,0.49077540144036585,0.5092245985596341,0.5117222516641794,0.48827774833582055,0.9225188218109044,0.07748117818909554,0.3129871213259206,0.6870128786740793,0.5189576147295591,0.48104238527044085,0.5108621071830733,0.4891378928169267,0.4870530759571145,0.5129469240428856,0.4980959825336619,0.5019040174663378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Appling County,130010003A1,0.9902167327953856,0.00978326720461444,0.3305007253949293,0.6694992746050707,0.5990800582978033,0.40091994170219675,0.5132754885614862,0.48672451143851386,0.4771091419586883,0.5228908580413119,0.4907534584447575,0.5092465415552425,0.9765069534985944,0.0234930465014055,0.3697187558322389,0.6302812441677611,0.6026035066948386,0.39739649330516136,0.512399927798729,0.48760007220127105,0.47475335654670975,0.5252466434532904,0.505501749028471,0.494498250971529,0.9943168445135422,0.00568315548645776,0.3872094138738703,0.6127905861261297,0.6200865858673764,0.3799134141326236,0.5086642381539886,0.4913357618460114,0.5008780034994037,0.4991219965005965,0.5353344690200647,0.4646655309799353,0.9850017309382576,0.01499826906174236,0.3400320162101547,0.6599679837898452,0.5291121385753655,0.4708878614246345,0.5267720699587274,0.47322793004127256,0.4791615139532599,0.5208384860467402,0.4791626779657138,0.5208373220342862,0.9258575573545365,0.07414244264546371,0.31831057279117997,0.6816894272088201,0.45076677269121623,0.5492332273087838,0.5063221423374972,0.4936778576625028,0.4891383330776643,0.5108616669223359,0.48154219926682384,0.5184578007331762,0.99211298993181,0.00788701006819,0.3679597920894346,0.6320402079105655,0.5654913122492334,0.4345086877507665,0.5198462666820062,0.48015373331799377,0.4873822171813651,0.5126177828186351,0.5092416264425574,0.4907583735574425,0.9860426028675324,0.01395739713246742,0.3307971220113827,0.6692028779886172,0.5399027818269706,0.46009721817302934,0.5084471538283333,0.4915528461716667,0.48130530357967094,0.5186946964203293,0.4848179363614599,0.51518206363854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atkinson County,13003000001,0.9506342815872202,0.04936571841277977,0.4344600567762127,0.5655399432237873,0.6940760797349621,0.3059239202650379,0.49676071729243465,0.5032392827075653,0.5047770178871226,0.4952229821128774,0.5051823593488418,0.49481764065115824,0.9545033137473592,0.04549668625264079,0.4440377009531562,0.5559622990468438,0.695629905774567,0.3043700942254331,0.5111129870504054,0.4888870129495946,0.4923187773920324,0.5076812226079677,0.5150746312877033,0.4849253687122968,0.9586529331570768,0.04134706684292312,0.4364373583636384,0.5635626416363616,0.7458813884208565,0.25411861157914345,0.482314619580634,0.517685380419366,0.5150450276274564,0.4849549723725436,0.5167356138542212,0.4832643861457788,0.9468314982957085,0.0531685017042917,0.4419127143957876,0.5580872856042124,0.6915402744722022,0.3084597255277978,0.5106459730075162,0.4893540269924838,0.4936914571461799,0.5063085428538201,0.514604798298867,0.48539520170113304,0.9409364041565904,0.0590635958434095,0.42287332960224094,0.577126670397759,0.6173207579534424,0.3826792420465576,0.5043268925034398,0.4956731074965603,0.5051706467862666,0.49482935321373345,0.5071438113136059,0.4928561886863942,0.9505830550656956,0.04941694493430448,0.45183634644429593,0.5481636535557041,0.703104266516847,0.296895733483153,0.5027674474435716,0.4972325525564284,0.496294709727367,0.503705290272633,0.526343294200019,0.473656705799981,0.9507696522892094,0.04923034771079062,0.4606642403837776,0.5393357596162224,0.6770362167274844,0.3229637832725157,0.5065621217590123,0.4934378782409877,0.5101327344522081,0.48986726554779186,0.5123355035991516,0.4876644964008484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
