county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.uss_18_rep_jam,vap_white.uss_18_dem_sta,vap_black.uss_18_rep_jam,vap_black.uss_18_dem_sta,vap_hisp.uss_18_rep_jam,vap_hisp.uss_18_dem_sta,vap_asian.uss_18_rep_jam,vap_asian.uss_18_dem_sta,vap_aian.uss_18_rep_jam,vap_aian.uss_18_dem_sta,vap_oth_b.uss_18_rep_jam,vap_oth_b.uss_18_dem_sta,vap_white.gov_18_rep_sch,vap_white.gov_18_dem_whi,vap_black.gov_18_rep_sch,vap_black.gov_18_dem_whi,vap_hisp.gov_18_rep_sch,vap_hisp.gov_18_dem_whi,vap_asian.gov_18_rep_sch,vap_asian.gov_18_dem_whi,vap_aian.gov_18_rep_sch,vap_aian.gov_18_dem_whi,vap_oth_b.gov_18_rep_sch,vap_oth_b.gov_18_dem_whi,vap_white.atg_18_rep_leo,vap_white.atg_18_dem_nes,vap_black.atg_18_rep_leo,vap_black.atg_18_dem_nes,vap_hisp.atg_18_rep_leo,vap_hisp.atg_18_dem_nes,vap_asian.atg_18_rep_leo,vap_asian.atg_18_dem_nes,vap_aian.atg_18_rep_leo,vap_aian.atg_18_dem_nes,vap_oth_b.atg_18_rep_leo,vap_oth_b.atg_18_dem_nes,vap_white.sos_18_rep_lan,vap_white.sos_18_dem_ben,vap_black.sos_18_rep_lan,vap_black.sos_18_dem_ben,vap_hisp.sos_18_rep_lan,vap_hisp.sos_18_dem_ben,vap_asian.sos_18_rep_lan,vap_asian.sos_18_dem_ben,vap_aian.sos_18_rep_lan,vap_aian.sos_18_dem_ben,vap_oth_b.sos_18_rep_lan,vap_oth_b.sos_18_dem_ben,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_white.uss_20_rep_jam,vap_white.uss_20_dem_pet,vap_black.uss_20_rep_jam,vap_black.uss_20_dem_pet,vap_hisp.uss_20_rep_jam,vap_hisp.uss_20_dem_pet,vap_asian.uss_20_rep_jam,vap_asian.uss_20_dem_pet,vap_aian.uss_20_rep_jam,vap_aian.uss_20_dem_pet,vap_oth_b.uss_20_rep_jam,vap_oth_b.uss_20_dem_pet,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Alcona County,26001001001,0.2718310368967042,0.7281689631032958,0.4991677299624153,0.5008322700375847,0.5045401914631811,0.4954598085368189,0.49561660670145485,0.5043833932985452,0.4932900752971575,0.5067099247028425,0.5106170503896724,0.4893829496103276,0.6624430306261414,0.33755696937385854,0.5074050341158554,0.49259496588414464,0.4881251236585167,0.5118748763414833,0.5004149704280698,0.4995850295719302,0.501431037820422,0.498568962179578,0.491730711262359,0.508269288737641,0.6418513931310147,0.3581486068689853,0.5120370440240419,0.48796295597595807,0.492760377185875,0.5072396228141249,0.49287759617877247,0.5071224038212275,0.4985015380821478,0.5014984619178522,0.5040316814483373,0.4959683185516627,0.6907875095300107,0.3092124904699893,0.5117449013704605,0.48825509862953953,0.5026433827098954,0.4973566172901046,0.5160290457166598,0.4839709542833402,0.49230992386765265,0.5076900761323474,0.48968520162693785,0.5103147983730622,0.670810653118511,0.32918934688148904,0.5034448197485979,0.49655518025140216,0.4914489468981671,0.5085510531018329,0.500452011390126,0.4995479886098741,0.477265118013748,0.5227348819862521,0.4828687459545152,0.5171312540454848,0.7055129619562316,0.29448703804376847,0.5099321055027494,0.4900678944972506,0.5113213916998173,0.4886786083001827,0.489995582874127,0.5100044171258731,0.48452373641263696,0.5154762635873631,0.5055332676873666,0.4944667323126334,0.6788376387327061,0.3211623612672939,0.4964822796977717,0.5035177203022284,0.4899894781391468,0.5100105218608532,0.4968863555992297,0.5031136444007702,0.502400404066928,0.497599595933072,0.4965744387783453,0.5034255612216547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001002,0.2810001180081895,0.7189998819918104,0.5014852976122122,0.49851470238778783,0.49497404477929136,0.5050259552207086,0.5011405829623922,0.49885941703760783,0.488985632631269,0.5110143673687311,0.5104399490527448,0.4895600509472552,0.6436267271553358,0.3563732728446643,0.5069522058870676,0.4930477941129325,0.4957954051188906,0.5042045948811095,0.5041695808874067,0.4958304191125932,0.506363639320965,0.493636360679035,0.4905230271783542,0.5094769728216458,0.6354698641213777,0.36453013587862226,0.5083171556464924,0.4916828443535076,0.4909951382085295,0.5090048617914704,0.49749307061268583,0.5025069293873142,0.5035169134914966,0.49648308650850337,0.5078246712399408,0.4921753287600592,0.6805076263581625,0.3194923736418374,0.5157542110846929,0.4842457889153072,0.5043478619338997,0.49565213806610026,0.517555094487442,0.482444905512558,0.5001199443378267,0.4998800556621733,0.4890264388315012,0.5109735611684988,0.6614513246199849,0.3385486753800151,0.4975526953538143,0.5024473046461857,0.4969564363942701,0.5030435636057299,0.4970731493982268,0.5029268506017731,0.4900851155599346,0.5099148844400654,0.48912592317274034,0.5108740768272596,0.6796002860215499,0.3203997139784501,0.5119358970179791,0.48806410298202085,0.5132963792293664,0.4867036207706336,0.4970832272813999,0.5029167727186,0.48757204335637055,0.5124279566436295,0.5138110656807344,0.4861889343192656,0.6548526204085552,0.34514737959144476,0.4908844974739302,0.5091155025260697,0.4939062590257894,0.5060937409742106,0.5022831632261235,0.49771683677387646,0.5026568639965894,0.49734313600341057,0.49868559306624616,0.5013144069337538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001003,0.33701986972326375,0.6629801302767362,0.4927759206048524,0.5072240793951477,0.5027001260209591,0.4972998739790407,0.501262418846526,0.498737581153474,0.487470656369924,0.512529343630076,0.5153335042370466,0.48466649576295345,0.6005585475465495,0.3994414524534506,0.5036566646496253,0.4963433353503746,0.48942129588155714,0.5105787041184426,0.5123340775302807,0.4876659224697193,0.4993697449200016,0.5006302550799984,0.4924306877197749,0.5075693122802252,0.5766465290423558,0.4233534709576442,0.5036768771160836,0.4963231228839165,0.49124135874158115,0.5087586412584189,0.4918679340785484,0.5081320659214517,0.4997380939300716,0.5002619060699284,0.5013752334059884,0.4986247665940115,0.6522671361263336,0.3477328638736664,0.5081761533838663,0.4918238466161337,0.5071444083256468,0.4928555916743532,0.5110216575630216,0.4889783424369783,0.490712712549949,0.5092872874500509,0.48022295140233906,0.5197770485976609,0.6264845161780338,0.3735154838219662,0.5010034204506482,0.49899657954935184,0.49155044267934184,0.5084495573206582,0.4995566010353818,0.5004433989646182,0.4818233444511474,0.5181766555488526,0.4858039504866806,0.5141960495133193,0.6815558904863643,0.3184441095136357,0.5175739348196924,0.4824260651803075,0.5130241788400433,0.4869758211599565,0.4990961288072483,0.5009038711927517,0.4935815818662883,0.5064184181337117,0.5088242413872744,0.4911757586127256,0.6647706470886846,0.33522935291131545,0.494344819236617,0.505655180763383,0.49942331555433533,0.5005766844456647,0.5090250241769088,0.4909749758230912,0.5016535954524893,0.4983464045475106,0.5030311365073932,0.4969688634926068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001004,0.33274280647388566,0.6672571935261143,0.49465931965368715,0.5053406803463129,0.4992384915898818,0.5007615084101181,0.4985068377826737,0.5014931622173263,0.49395873444798144,0.5060412655520186,0.512713748681986,0.4872862513180139,0.5960741826826988,0.4039258173173011,0.5036854991194974,0.4963145008805025,0.4900319600299217,0.5099680399700782,0.5092239540444048,0.49077604595559526,0.5044611740178125,0.49553882598218746,0.4916993007405678,0.5083006992594322,0.6101509993891793,0.38984900061082073,0.5066414345082281,0.49335856549177193,0.4970298514959221,0.502970148504078,0.49330151559021934,0.5066984844097806,0.49671242527229464,0.5032875747277054,0.5051988651932405,0.4948011348067595,0.6389526237380679,0.3610473762619321,0.5091940377003996,0.49080596229960033,0.5033998367693878,0.4966001632306122,0.5142081077924928,0.4857918922075072,0.4901184953409998,0.5098815046590002,0.48145483879264794,0.5185451612073521,0.6178759474911857,0.3821240525088143,0.502639008176724,0.4973609918232759,0.49452306297385545,0.5054769370261446,0.497689768135326,0.502310231864674,0.4753218233629579,0.5246781766370421,0.4864288229370502,0.5135711770629497,0.6537712501749752,0.34622874982502483,0.5066127136299203,0.49338728637007967,0.5074802755916267,0.4925197244083733,0.49733832540411943,0.5026616745958805,0.494257545499657,0.5057424545003429,0.5143309173854248,0.4856690826145752,0.6263208296203422,0.3736791703796578,0.496123988978124,0.503876011021876,0.49233296136810695,0.5076670386318931,0.5030835222306232,0.4969164777693767,0.5032009230213083,0.4967990769786918,0.5015877521646174,0.4984122478353826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001005,0.22819137896568784,0.7718086210343121,0.49279899108305064,0.5072010089169493,0.4954978113668191,0.5045021886331809,0.5014765424072449,0.4985234575927548,0.4941658160188711,0.5058341839811289,0.504819344682607,0.4951806553173927,0.6834154607956611,0.3165845392043389,0.4984582575371752,0.5015417424628248,0.4945536333127912,0.5054463666872089,0.5051489983642194,0.4948510016357804,0.5015958163646401,0.49840418363535993,0.4932870625723422,0.5067129374276578,0.6628564798230022,0.33714352017699784,0.5079343394579893,0.4920656605420108,0.49417392456924863,0.5058260754307513,0.4920497192421927,0.5079502807578072,0.5035443994877918,0.4964556005122081,0.500691211419232,0.49930878858076777,0.733609368221254,0.26639063177874595,0.5128435305543547,0.4871564694456453,0.5003267739475395,0.4996732260524605,0.5114309539748858,0.48856904602511425,0.49295510762842654,0.5070448923715735,0.4824260196195938,0.517573980380406,0.7088797082032936,0.29112029179670634,0.49475655835505017,0.5052434416449498,0.4976870569618818,0.5023129430381181,0.4963182410114627,0.5036817589885373,0.48066886834625616,0.5193311316537438,0.4900225964596787,0.5099774035403213,0.7509721819305658,0.24902781806943416,0.5129839017286926,0.4870160982713074,0.5093618207980595,0.4906381792019405,0.4996062734335879,0.5003937265664121,0.492882500895036,0.5071174991049641,0.5148874796425875,0.4851125203574125,0.7265194061678149,0.2734805938321852,0.4967500334801314,0.5032499665198685,0.4879577378808254,0.5120422621191745,0.5045869446419428,0.4954130553580573,0.506835112228415,0.49316488777158496,0.5005484232002775,0.4994515767997223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001006,0.4100951713246833,0.5899048286753169,0.4980059878870338,0.5019940121129661,0.49970673637452984,0.5002932636254701,0.4980977808496735,0.5019022191503265,0.48823396741524977,0.5117660325847502,0.5072381262394308,0.4927618737605693,0.5156802336882244,0.4843197663117759,0.4979166490440102,0.5020833509559898,0.4896431239964641,0.510356876003536,0.5046696438602131,0.495330356139787,0.5035829210212742,0.49641707897872583,0.4950466660566163,0.5049533339433837,0.4913240290537943,0.5086759709462059,0.5065312190937782,0.4934687809062218,0.4922828211347378,0.5077171788652621,0.49267660173632954,0.5073233982636705,0.4995259972343863,0.5004740027656137,0.49826225387028295,0.5017377461297171,0.551535747187133,0.4484642528128672,0.5063653093325741,0.493634690667426,0.5028073303274668,0.4971926696725332,0.5111251973116533,0.4888748026883467,0.4985173920246889,0.5014826079753111,0.4868002839621045,0.5131997160378955,0.4983427595208724,0.5016572404791279,0.5001984492239392,0.49980155077606087,0.4920613014996651,0.5079386985003349,0.4928223821685804,0.5071776178314197,0.4710375360616354,0.5289624639383645,0.4862983959717005,0.5137016040282995,0.5224574257764268,0.47754257422357343,0.5087053095390386,0.4912946904609614,0.5151249506418554,0.4848750493581446,0.4911725590869072,0.5088274409130928,0.4944315269959492,0.5055684730040508,0.5114452312811096,0.4885547687188904,0.5242399550905287,0.4757600449094716,0.4934738388667989,0.5065261611332011,0.4923968290806921,0.507603170919308,0.5084722987328345,0.4915277012671655,0.4992118967495938,0.5007881032504061,0.48991266020617297,0.510087339793827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001007,0.27066083882948394,0.729339161170516,0.49546965186367103,0.5045303481363289,0.5035993692295989,0.49640063077040103,0.5038076173516101,0.4961923826483899,0.4903215064886995,0.5096784935113006,0.5044195671854864,0.4955804328145135,0.6924275014628432,0.30757249853715685,0.5004329079516219,0.4995670920483781,0.4872840388560547,0.5127159611439452,0.5003396463343099,0.49966035366569006,0.4979389357235959,0.5020610642764041,0.4898609258689774,0.5101390741310226,0.6671870819118261,0.3328129180881739,0.5091606890350405,0.49083931096495953,0.49259173549504737,0.5074082645049527,0.4991646821211443,0.5008353178788557,0.5019238740276859,0.4980761259723141,0.5067399466026471,0.4932600533973529,0.732634813372028,0.267365186627972,0.5167733585902418,0.48322664140975824,0.5102683501227453,0.48973164987725465,0.5115984270643442,0.48840157293565584,0.4880127188735881,0.511987281126412,0.49164950022436826,0.5083504997756317,0.7203878150661294,0.27961218493387063,0.5045144826182324,0.4954855173817676,0.4971842579644741,0.5028157420355259,0.49897606643150966,0.5010239335684903,0.4751785014030346,0.5248214985969654,0.4854054708328804,0.5145945291671197,0.7212698340108306,0.2787301659891695,0.5124654224172054,0.4875345775827946,0.5112508371079456,0.4887491628920545,0.4968777251745746,0.5031222748254254,0.4862879879785514,0.5137120120214487,0.5111433615823969,0.4888566384176031,0.7027674281774857,0.2972325718225143,0.4906979454906184,0.5093020545093816,0.4874700111379641,0.5125299888620359,0.4992151032727827,0.5007848967272174,0.5021584091337042,0.4978415908662958,0.5034096223342115,0.49659037766578856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001008,0.26939544327629766,0.7306045567237024,0.50028716786661,0.49971283213339,0.4999755528697261,0.5000244471302738,0.49906940497408553,0.5009305950259145,0.4896398291732064,0.5103601708267936,0.5034969394114768,0.496503060588523,0.7035944262592816,0.29640557374071835,0.5033343541261232,0.4966656458738769,0.4852252012689327,0.5147747987310672,0.5099101045613529,0.4900898954386471,0.4999209885972366,0.5000790114027633,0.4948952043295421,0.505104795670458,0.6670538886814539,0.33294611131854607,0.5041345178481388,0.4958654821518611,0.48948010154382754,0.5105198984561724,0.49749721292737487,0.5025027870726251,0.5018110425666396,0.4981889574333605,0.5040943843327328,0.4959056156672672,0.7006603358101718,0.29933966418982816,0.5107511036892417,0.4892488963107583,0.5026956368769726,0.49730436312302745,0.5160266472950792,0.4839733527049208,0.48976335966351,0.51023664033649,0.4894116100783141,0.5105883899216859,0.6930504448931292,0.3069495551068708,0.506119389978488,0.4938806100215119,0.4970911960508227,0.5029088039491773,0.49513389134611013,0.5048661086538898,0.4795866015875196,0.5204133984124804,0.4897079712386127,0.5102920287613871,0.7255701756796098,0.2744298243203902,0.5079316192254629,0.4920683807745371,0.5057113692809473,0.4942886307190527,0.5026912667902471,0.49730873320975294,0.4939483891582837,0.5060516108417162,0.5106438448477424,0.4893561551522576,0.701345662298675,0.298654337701325,0.4958654144263992,0.5041345855736008,0.4959175422465145,0.5040824577534855,0.502745813358462,0.497254186641538,0.4973046517337919,0.5026953482662081,0.5011609642558488,0.4988390357441513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001009,0.26763629945330325,0.7323637005466967,0.49198261722329384,0.5080173827767062,0.5008658433304003,0.4991341566695997,0.4928880796831366,0.5071119203168635,0.4848144806085557,0.5151855193914445,0.5083269699635199,0.4916730300364801,0.6836375719758638,0.31636242802413617,0.5054362042534241,0.49456379574657594,0.48792976132868354,0.5120702386713164,0.5092123591331954,0.49078764086680465,0.49797365985499664,0.5020263401450036,0.4949694777244105,0.5050305222755895,0.6847434180033483,0.3152565819966517,0.5044169682602705,0.49558303173972945,0.4858721702329528,0.5141278297670473,0.4920263708273296,0.5079736291726704,0.4980045605120144,0.5019954394879859,0.5079772220400901,0.4920227779599099,0.7118233114286708,0.28817668857132916,0.5129968963481869,0.4870031036518131,0.4991814842265111,0.5008185157734889,0.5092972269301441,0.4907027730698558,0.49855957923744154,0.5014404207625587,0.48854127090829974,0.5114587290917002,0.6927918062243499,0.3072081937756502,0.501293619467628,0.498706380532372,0.4981546667807785,0.5018453332192214,0.5003609742464772,0.4996390257535228,0.4687286299584401,0.5312713700415601,0.4905333961727455,0.5094666038272545,0.6932024087421966,0.3067975912578034,0.510070150794892,0.4899298492051079,0.5084715016192259,0.491528498380774,0.49540691901344214,0.5045930809865579,0.49547837249471033,0.50452162750529,0.5004869086150014,0.49951309138499855,0.6850900815206015,0.31490991847939853,0.4918047745813674,0.5081952254186326,0.4909942573869383,0.5090057426130618,0.5026095035448868,0.4973904964551133,0.5023415356475696,0.49765846435243066,0.5045493311698932,0.4954506688301068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona County,26001001010,0.19184508261465663,0.8081549173853433,0.49452143298979495,0.505478567010205,0.49941393184832816,0.5005860681516718,0.5006789983557065,0.4993210016442935,0.48671262101439866,0.5132873789856014,0.5087891753076478,0.4912108246923523,0.7501569775230461,0.24984302247695392,0.5054575528512504,0.4945424471487496,0.4883389086122923,0.5116610913877077,0.5068454161503049,0.4931545838496951,0.5007393819912123,0.4992606180087877,0.4961411755847788,0.5038588244152212,0.6935348934851678,0.30646510651483216,0.5092280930808905,0.4907719069191095,0.4899651302070439,0.5100348697929561,0.494161106800478,0.505838893199522,0.5019346671180779,0.4980653328819222,0.5083817900254542,0.4916182099745458,0.7601345330693161,0.2398654669306839,0.5026636975499436,0.4973363024500565,0.5064205880206146,0.4935794119793854,0.5125050857890118,0.48749491421098823,0.4943057010750664,0.5056942989249336,0.4895004967370792,0.5104995032629207,0.755304451890204,0.244695548109796,0.5078429572719341,0.492157042728066,0.4963178367000018,0.5036821632999982,0.4998870843361301,0.50011291566387,0.47874244470927385,0.5212575552907261,0.4868385000062759,0.5131614999937241,0.782002446484029,0.21799755351597103,0.5088643199198093,0.49113568008019065,0.5062590889706285,0.49374091102937145,0.4957632208726887,0.5042367791273112,0.498686139800835,0.501313860199165,0.5122168205316165,0.4877831794683835,0.7272157626449997,0.27278423735500035,0.4958002353677371,0.5041997646322629,0.49183831695846336,0.5081616830415366,0.5056915139281808,0.49430848607181926,0.5018235177519296,0.4981764822480704,0.4989793110373521,0.501020688962648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
