county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.uss_16_rep_por,vap_white.uss_16_dem_str,vap_black.uss_16_rep_por,vap_black.uss_16_dem_str,vap_hisp.uss_16_rep_por,vap_hisp.uss_16_dem_str,vap_asian.uss_16_rep_por,vap_asian.uss_16_dem_str,vap_aian.uss_16_rep_por,vap_aian.uss_16_dem_str,vap_oth_b.uss_16_rep_por,vap_oth_b.uss_16_dem_str,vap_white.uss_18_rep_ren,vap_white.uss_18_dem_bro,vap_black.uss_18_rep_ren,vap_black.uss_18_dem_bro,vap_hisp.uss_18_rep_ren,vap_hisp.uss_18_dem_bro,vap_asian.uss_18_rep_ren,vap_asian.uss_18_dem_bro,vap_aian.uss_18_rep_ren,vap_aian.uss_18_dem_bro,vap_oth_b.uss_18_rep_ren,vap_oth_b.uss_18_dem_bro,vap_white.gov_18_rep_dew,vap_white.gov_18_dem_cor,vap_black.gov_18_rep_dew,vap_black.gov_18_dem_cor,vap_hisp.gov_18_rep_dew,vap_hisp.gov_18_dem_cor,vap_asian.gov_18_rep_dew,vap_asian.gov_18_dem_cor,vap_aian.gov_18_rep_dew,vap_aian.gov_18_dem_cor,vap_oth_b.gov_18_rep_dew,vap_oth_b.gov_18_dem_cor,vap_white.atg_18_rep_yos,vap_white.atg_18_dem_det,vap_black.atg_18_rep_yos,vap_black.atg_18_dem_det,vap_hisp.atg_18_rep_yos,vap_hisp.atg_18_dem_det,vap_asian.atg_18_rep_yos,vap_asian.atg_18_dem_det,vap_aian.atg_18_rep_yos,vap_aian.atg_18_dem_det,vap_oth_b.atg_18_rep_yos,vap_oth_b.atg_18_dem_det,vap_white.sos_18_rep_lar,vap_white.sos_18_dem_cly,vap_black.sos_18_rep_lar,vap_black.sos_18_dem_cly,vap_hisp.sos_18_rep_lar,vap_hisp.sos_18_dem_cly,vap_asian.sos_18_rep_lar,vap_asian.sos_18_dem_cly,vap_aian.sos_18_rep_lar,vap_aian.sos_18_dem_cly,vap_oth_b.sos_18_rep_lar,vap_oth_b.sos_18_dem_cly,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid
Adams County,39001001AAA,0.8576479592724979,0.14235204072750207,0.48920347342819986,0.5107965265718002,0.4895999148428661,0.5104000851571339,0.49881462616435707,0.5011853738356429,0.49501438036963585,0.5049856196303641,0.49043387398981536,0.5095661260101846,0.8800577895913877,0.11994221040861233,0.4792701331142471,0.520729866885753,0.5008015989796545,0.4991984010203455,0.4911324682595807,0.5088675317404193,0.5063384182231934,0.4936615817768067,0.4937963597194124,0.5062036402805876,0.7666284443933544,0.23337155560664552,0.49276945994563603,0.507230540054364,0.5050529638208118,0.49494703617918817,0.5172465051814689,0.4827534948185311,0.5077373276078555,0.4922626723921445,0.49201888299723967,0.5079811170027603,0.7815313923756128,0.21846860762438725,0.49686208832270395,0.503137911677296,0.5045820251554376,0.49541797484456246,0.49801309588196346,0.5019869041180365,0.49848999180270187,0.5015100081972982,0.4797568285758526,0.5202431714241474,0.7877955377135369,0.212204462286463,0.47404625966718245,0.5259537403328176,0.5118637016048635,0.4881362983951365,0.5133693687496166,0.4866306312503834,0.48556504408221834,0.5144349559177817,0.4858154978282718,0.5141845021717282,0.8097539967560157,0.19024600324398439,0.500174746886986,0.499825253113014,0.49059102145569783,0.5094089785443021,0.5123187854861924,0.4876812145138076,0.49782535497610436,0.5021746450238956,0.5039553084038523,0.4960446915961477,0.8486779443010412,0.15132205569895887,0.4842302456876994,0.5157697543123005,0.49610149722805436,0.5038985027719457,0.49348448528818173,0.5065155147118183,0.5106028315867629,0.4893971684132371,0.47463116340501693,0.525368836594983
Adams County,39001001AAB,0.8109075003776458,0.18909249962235417,0.49021476992772955,0.5097852300722704,0.4946846558151371,0.5053153441848629,0.4870168151465983,0.5129831848534017,0.4957501574735442,0.5042498425264559,0.4894028488196081,0.510597151180392,0.8003017961465722,0.19969820385342785,0.47822547457147285,0.5217745254285271,0.5090067344710711,0.49099326552892886,0.5007676785005895,0.4992323214994105,0.5088730008474528,0.49112699915254715,0.4931346469303481,0.5068653530696519,0.7083681193436369,0.2916318806563631,0.4920666388221906,0.5079333611778094,0.5096228942185751,0.4903771057814249,0.5144465738613685,0.4855534261386315,0.5086062844182184,0.49139371558178163,0.49759441778237223,0.5024055822176278,0.7271104758196085,0.2728895241803914,0.49762660460568764,0.5023733953943124,0.5063289104983407,0.4936710895016592,0.49055716189795107,0.5094428381020489,0.49682901756235637,0.5031709824376437,0.48594346593140314,0.5140565340685969,0.7516646991359824,0.2483353008640175,0.47307897761048373,0.5269210223895163,0.5128025557144096,0.4871974442855904,0.5197475271408064,0.4802524728591936,0.48196636583971975,0.5180336341602803,0.4874245211356059,0.5125754788643941,0.7612315600523727,0.23876843994762725,0.49864881537927225,0.5013511846207278,0.48442400464408836,0.5155759953559117,0.5169809616531412,0.48301903834685883,0.4904031044884975,0.5095968955115026,0.5032407082812715,0.49675929171872846,0.8389933886419008,0.16100661135809918,0.4849601207440068,0.5150398792559933,0.5022059068217007,0.4977940931782992,0.49107174005418097,0.508928259945819,0.5051808118503359,0.494819188149664,0.4742925890280562,0.5257074109719437
Adams County,39001001AAD,0.8341957488425851,0.16580425115741498,0.49132131037700544,0.5086786896229946,0.49038998420826935,0.5096100157917305,0.49117051784997184,0.5088294821500281,0.4924246434360062,0.5075753565639938,0.4888815409490108,0.5111184590509892,0.8437661506904295,0.15623384930957052,0.4809545760535928,0.5190454239464072,0.5047146636172999,0.4952853363826999,0.49470133900427055,0.5052986609957294,0.5166247524154061,0.48337524758459394,0.48564193432312763,0.5143580656768724,0.7694148826643501,0.23058511733564988,0.48798502003016203,0.5120149799698379,0.5057633177297299,0.49423668227027007,0.5119981695794766,0.4880018304205233,0.5046275478072382,0.49537245219276177,0.49720506034282347,0.5027949396571765,0.8202136100923662,0.17978638990763388,0.4978006525195973,0.5021993474804026,0.5043064949440248,0.49569350505597526,0.4941663157420019,0.505833684257998,0.5045877884845065,0.4954122115154936,0.4869147904093037,0.5130852095906964,0.8328346745004211,0.1671653254995789,0.4764961138246393,0.5235038861753607,0.5140559559369079,0.4859440440630919,0.5162442456198114,0.48375575438018853,0.48144796258602424,0.5185520374139757,0.5005677337492581,0.49943226625074183,0.8257587880720836,0.17424121192791645,0.5047408410810196,0.4952591589189804,0.4919018798500151,0.5080981201499847,0.5100633612300941,0.4899366387699059,0.4956660434658479,0.5043339565341521,0.5079291416159657,0.49207085838403425,0.8762058243514581,0.1237941756485419,0.48226817991663756,0.5177318200833624,0.5018599038408222,0.49814009615917754,0.495421033203747,0.504578966796253,0.5065800781946046,0.49341992180539535,0.47669834142281897,0.523301658577181
Adams County,39001001AAE,0.7084885172087634,0.29151148279123656,0.48722349127665093,0.5127765087233491,0.4926651972441858,0.5073348027558142,0.489958600122816,0.510041399877184,0.49132230636207774,0.5086776936379223,0.48346862882590613,0.5165313711740939,0.7199840963891816,0.28001590361081846,0.4879086743925376,0.5120913256074624,0.5085222946843436,0.4914777053156563,0.49165425849678923,0.5083457415032108,0.5010050547463395,0.49899494525366056,0.4887278697965734,0.5112721302034265,0.5946651710839784,0.40533482891602163,0.4948708533775629,0.5051291466224371,0.5094846159695403,0.49051538403045963,0.5122946080111233,0.4877053919888768,0.5070253948283041,0.49297460517169583,0.49780302655234276,0.5021969734476572,0.6518063441823094,0.3481936558176906,0.49323772314147124,0.5067622768585288,0.5005042225807095,0.4994957774192905,0.4914432545084668,0.5085567454915332,0.5030913171049282,0.4969086828950719,0.4822739966662496,0.5177260033337504,0.6743921724036516,0.32560782759634843,0.4709191338949369,0.5290808661050631,0.5068294418449165,0.4931705581550835,0.5182922041029098,0.4817077958970902,0.47805492857845383,0.5219450714215462,0.4893742000923577,0.5106257999076423,0.6570100129855798,0.34298998701442024,0.49678541406470816,0.5032145859352918,0.48775235025605296,0.5122476497439471,0.5081410264374506,0.4918589735625494,0.49432939751461213,0.5056706024853879,0.5063974326433363,0.4936025673566638,0.8216009361312053,0.17839906386879473,0.4877625096925163,0.5122374903074838,0.5033243288572979,0.496675671142702,0.494251867416961,0.505748132583039,0.5014393346557441,0.4985606653442559,0.4717507996079227,0.5282492003920773
Adams County,39001001AAG,0.8011821001637353,0.19881789983626474,0.48651153637520544,0.5134884636247945,0.49407140490219786,0.5059285950978022,0.48880789021409476,0.511192109785905,0.4936877858734402,0.5063122141265598,0.48459896050903983,0.5154010394909602,0.7552045836118385,0.24479541638816152,0.4791404910992287,0.5208595089007714,0.5077055265662019,0.49229447343379806,0.49498545547343276,0.505014544526567,0.5033564650117619,0.49664353498823816,0.4791168529308293,0.5208831470691707,0.6811337432242677,0.31886625677573227,0.49708288590262206,0.5029171140973779,0.5038250970726003,0.4961749029273998,0.5144489985068935,0.4855510014931062,0.5084074695823486,0.49159253041765144,0.4944507895701814,0.5055492104298184,0.7239292818436688,0.27607071815633116,0.4993000623416381,0.5006999376583618,0.5027797570080228,0.49722024299197726,0.49550959470620615,0.5044904052937936,0.5043343916199372,0.49566560838006274,0.47936355660305224,0.5206364433969478,0.7465651863840354,0.25343481361596465,0.47402935182316447,0.5259706481768356,0.5109443689806101,0.4890556310193899,0.522470943699382,0.4775290563006178,0.484703403920407,0.515296596079593,0.4798488602281815,0.5201511397718185,0.7404387830031861,0.25956121699681395,0.49505176899493103,0.504948231005069,0.49413737640740124,0.5058626235925987,0.5124719418370183,0.48752805816298145,0.4939118546251287,0.5060881453748712,0.49541102108759916,0.5045889789124006,0.840823071501729,0.15917692849827103,0.4856624535486004,0.5143375464513996,0.5024623978570226,0.4975376021429773,0.48840776632378,0.5115922336762198,0.5147628016423847,0.48523719835761525,0.4708683577082027,0.5291316422917971
Adams County,39001001AAI,0.8149913844727541,0.18500861552724607,0.4904417619750353,0.5095582380249647,0.4909244820750477,0.5090755179249523,0.4954119080537831,0.5045880919462169,0.5000156487157408,0.49998435128425917,0.48416969357797385,0.5158303064220261,0.8274266389479108,0.1725733610520894,0.48425674901874743,0.5157432509812526,0.505417036842385,0.49458296315761496,0.49775475989356005,0.50224524010644,0.5110150938893144,0.4889849061106855,0.49142696383673895,0.5085730361632611,0.7138336697100516,0.28616633028994864,0.4904311964979126,0.5095688035020874,0.5073993256164934,0.49260067438350663,0.5101223128368784,0.48987768716312163,0.5040485585989595,0.4959514414010405,0.493653707555653,0.506346292444347,0.7753631567109379,0.2246368432890623,0.49742483038315005,0.5025751696168499,0.5077052490908971,0.49229475090910296,0.4954790113903051,0.504520988609695,0.4991719444296031,0.5008280555703969,0.47792922564060114,0.5220707743593989,0.7680553104849267,0.23194468951507352,0.4782022210236139,0.521797778976386,0.5127129561859112,0.4872870438140888,0.5199785736354193,0.48002142636458067,0.4903116503763756,0.5096883496236244,0.4887005600276566,0.5112994399723434,0.7653326892955903,0.2346673107044099,0.49731713207000944,0.5026828679299905,0.4821733592846754,0.5178266407153246,0.5163092739083792,0.4836907260916208,0.49591129819475427,0.5040887018052457,0.5044425537536952,0.49555744624630477,0.8342439633315846,0.16575603666841568,0.49003355623213624,0.5099664437678637,0.5048737903750796,0.49512620962492043,0.49239152183413154,0.5076084781658685,0.5086224912996955,0.49137750870030444,0.47594579014400923,0.5240542098559907
Adams County,39001001AAK,0.6931211315467859,0.3068788684532141,0.4959444726523295,0.5040555273476706,0.48812124503888427,0.5118787549611157,0.48786323127837644,0.5121367687216235,0.492806465904499,0.5071935340955009,0.4803339582536707,0.5196660417463294,0.7247236515779593,0.27527634842204074,0.4841121024936722,0.5158878975063278,0.508045034909444,0.49195496509055603,0.4943171353209106,0.5056828646790894,0.5035941451207099,0.4964058548792901,0.48205556504747576,0.5179444349525243,0.5965733703439599,0.40342662965604015,0.49065076652723955,0.5093492334727604,0.4969844636917583,0.5030155363082417,0.5159796712870779,0.4840203287129221,0.5074081046728216,0.49259189532717845,0.49638247577591393,0.503617524224086,0.6558629640972168,0.3441370359027833,0.5005507627062961,0.4994492372937039,0.49987957732134286,0.5001204226786571,0.4922041122815717,0.5077958877184283,0.5000620280461505,0.4999379719538495,0.4807630281708276,0.5192369718291724,0.6561930019237984,0.3438069980762016,0.4769422692722777,0.5230577307277223,0.5028269105120986,0.49717308948790134,0.513128832177122,0.4868711678228779,0.48101869777581074,0.5189813022241893,0.4774297503779843,0.5225702496220157,0.6499098902358738,0.35009010976412624,0.5002865633314065,0.49971343666859347,0.4852406037333898,0.5147593962666103,0.5137160165011655,0.4862839834988345,0.4990115842237946,0.5009884157762055,0.4976669632158245,0.5023330367841755,0.776769299077812,0.22323070092218802,0.4927569675884137,0.5072430324115863,0.500261481402464,0.499738518597536,0.4894846901290668,0.5105153098709332,0.5083962957737731,0.4916037042262269,0.4624745564915314,0.5375254435084685
Adams County,39001001AAN,0.8514870441125355,0.14851295588746444,0.4894503853563129,0.5105496146436871,0.484363488846777,0.5156365111532231,0.49342740347961456,0.5065725965203854,0.49851097038321984,0.5014890296167802,0.4963040934239047,0.5036959065760951,0.849390622100005,0.15060937789999498,0.48146740752651146,0.5185325924734885,0.5053240126937442,0.4946759873062558,0.49849066316521407,0.5015093368347859,0.5041710494728178,0.49582895052718223,0.4957008976671332,0.5042991023328666,0.7660123287681289,0.23398767123187111,0.4878463611434109,0.512153638856589,0.5101264579303,0.48987354206969996,0.5044010067980311,0.4955989932019688,0.5039894645031174,0.4960105354968825,0.495886073809305,0.5041139261906951,0.8030543176110995,0.19694568238890048,0.49679600253908546,0.5032039974609145,0.5005173623464287,0.4994826376535712,0.49824391466832296,0.501756085331677,0.5006998338748899,0.4993001661251101,0.49068166682268627,0.5093183331773135,0.8215570897661714,0.17844291023382863,0.47161741276908775,0.5283825872309122,0.506516197113345,0.4934838028866551,0.5219172635724152,0.47808273642758475,0.48928019418014324,0.5107198058198568,0.4927563735045778,0.507243626495422,0.8162631648855868,0.18373683511441322,0.4999513563911623,0.5000486436088377,0.492231239523048,0.5077687604769521,0.5109137786343746,0.4890862213656254,0.49556936617368524,0.5044306338263148,0.5060421691915151,0.49395783080848465,0.8832836401628776,0.11671635983712231,0.49231079061296057,0.5076892093870394,0.494368484114739,0.505631515885261,0.4880920937368359,0.5119079062631642,0.5134498477353661,0.48655015226463394,0.4740513253912868,0.5259486746087132
Adams County,39001001AAP,0.7618279692701538,0.2381720307298462,0.48608347785293937,0.5139165221470606,0.4861302604402534,0.5138697395597466,0.49090310283925115,0.5090968971607489,0.49440706481909485,0.5055929351809054,0.48712730432203094,0.5128726956779691,0.7636765388521127,0.23632346114788721,0.4811068102141443,0.5188931897858557,0.5039978169623722,0.4960021830376277,0.4838606394940349,0.5161393605059651,0.5066505403251432,0.49334945967485694,0.4883987620624987,0.5116012379375013,0.6463097818682753,0.3536902181317248,0.4839044540366446,0.5160955459633554,0.5043648813392863,0.49563511866071375,0.5118940161443266,0.48810598385567344,0.5027455235567563,0.49725447644324394,0.48994353035526617,0.5100564696447338,0.6764132714032607,0.3235867285967393,0.4988958222188039,0.5011041777811961,0.5007457115105112,0.49925428848948883,0.49278519573456014,0.5072148042654399,0.49695159384965315,0.5030484061503471,0.48521490370456993,0.51478509629543,0.6979049726839911,0.30209502731600896,0.4715918603014709,0.5284081396985291,0.511389166121921,0.488610833878079,0.5230378156302138,0.47696218436978627,0.48746468841770185,0.5125353115822984,0.4863600046115888,0.5136399953884112,0.6897690913229108,0.31023090867708925,0.5078043148464445,0.49219568515355555,0.4964727525413924,0.5035272474586076,0.5104154394413343,0.4895845605586658,0.4986662833266073,0.5013337166733929,0.49577130700725913,0.5042286929927409,0.7979852297800984,0.20201477021990152,0.4880897673183911,0.5119102326816088,0.5029455343375832,0.49705446566241684,0.48834217405967073,0.5116578259403293,0.5113793980293837,0.4886206019706165,0.4761991060337806,0.5238008939662194
Adams County,39001001AAR,0.755684578627364,0.24431542137263598,0.49072574834480004,0.5092742516551999,0.48817661519824834,0.5118233848017517,0.4905520651795542,0.5094479348204458,0.49413839928972975,0.5058616007102702,0.4821002374900691,0.517899762509931,0.7775914320967421,0.2224085679032579,0.47709417246360974,0.5229058275363903,0.5053580625391907,0.49464193746080937,0.5016594644548692,0.49834053554513075,0.5114763508337361,0.4885236491662639,0.490445712220825,0.509554287779175,0.6395640884828064,0.36043591151719356,0.4878375591234567,0.5121624408765433,0.5010463388254316,0.4989536611745684,0.5115642548783409,0.48843574512165905,0.505287739990634,0.4947122600093659,0.49355602139044613,0.5064439786095538,0.7390927245570509,0.2609072754429491,0.503843311322683,0.496156688677317,0.49643811663917203,0.503561883360828,0.497110345393098,0.5028896546069019,0.5083910031145403,0.4916089968854597,0.48465738429368393,0.515342615706316,0.7049563700664443,0.2950436299335557,0.4686798377122975,0.5313201622877025,0.506307147666274,0.49369285233372595,0.5150710276840896,0.4849289723159104,0.48364477710125564,0.5163552228987444,0.48881948442968676,0.5111805155703133,0.6949241300907278,0.30507586990927216,0.5054461793383124,0.49455382066168757,0.48806425274590964,0.5119357472540904,0.5162978966451386,0.4837021033548614,0.49487965618967594,0.505120343810324,0.49861968106705645,0.5013803189329435,0.8084525006990153,0.19154749930098466,0.48778134901255193,0.512218650987448,0.5039448258327225,0.4960551741672775,0.4897841355887063,0.5102158644112936,0.5074110832583125,0.4925889167416875,0.46524671727420636,0.5347532827257936
