county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.uss_16_dem_sch,vap_white.uss_16_rep_lon,vap_black.uss_16_dem_sch,vap_black.uss_16_rep_lon,vap_hisp.uss_16_dem_sch,vap_hisp.uss_16_rep_lon,vap_oth.uss_16_dem_sch,vap_oth.uss_16_rep_lon,vap_white.uss_18_dem_gil,vap_white.uss_18_rep_far,vap_black.uss_18_dem_gil,vap_black.uss_18_rep_far,vap_hisp.uss_18_dem_gil,vap_hisp.uss_18_rep_far,vap_oth.uss_18_dem_gil,vap_oth.uss_18_rep_far,vap_white.gov_18_dem_cuo,vap_white.gov_18_rep_mol,vap_black.gov_18_dem_cuo,vap_black.gov_18_rep_mol,vap_hisp.gov_18_dem_cuo,vap_hisp.gov_18_rep_mol,vap_oth.gov_18_dem_cuo,vap_oth.gov_18_rep_mol,vap_white.atg_18_dem_jam,vap_white.atg_18_rep_wof,vap_black.atg_18_dem_jam,vap_black.atg_18_rep_wof,vap_hisp.atg_18_dem_jam,vap_hisp.atg_18_rep_wof,vap_oth.atg_18_dem_jam,vap_oth.atg_18_rep_wof,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Albany County,36001000001,0.4994121702452287,0.5005878297547713,0.9472569476172681,0.0527430523827319,0.9449534342401236,0.05504656575987648,0.9134404566751806,0.08655954332481938,0.632529775088076,0.36747022491192405,0.9525350227792356,0.04746497722076442,0.9215173802697952,0.07848261973020482,0.9178500265973022,0.08214997340269778,0.7436548114969076,0.25634518850309246,0.9603748700833163,0.03962512991668369,0.9338514657487977,0.06614853425120226,0.916212050296878,0.083787949703122,0.6615346502578233,0.3384653497421766,0.9598320708419472,0.04016792915805283,0.9417149053177561,0.058285094682243827,0.9132600202975389,0.08673997970246111,0.7448630670684864,0.25513693293151357,0.9586173619764062,0.0413826380235938,0.9389418805543404,0.06105811944565963,0.9283200267966907,0.0716799732033093,0.6425917069497,0.3574082930503,0.9591833530045734,0.040816646995426684,0.9003167986535543,0.09968320134644569,0.8982500996899733,0.10174990031002677
Albany County,36001000002,0.6322716958956729,0.36772830410432705,0.9715499541346817,0.02845004586531827,0.9381456340812195,0.06185436591878048,0.9212001036244267,0.07879989637557333,0.7783066182528497,0.22169338174715023,0.972743271621852,0.027256728378147937,0.9465783803665855,0.0534216196334145,0.9353195806376082,0.0646804193623918,0.7722926906567413,0.22770730934325864,0.9765290760246876,0.023470923975312332,0.9337094545006461,0.06629054549935386,0.9245797959384218,0.07542020406157829,0.5936553016708587,0.4063446983291413,0.9673100325707805,0.03268996742921945,0.9388469843596028,0.06115301564039725,0.9134258753627386,0.08657412463726144,0.719737255608628,0.280262744391372,0.9707279554867515,0.02927204451324849,0.9363076060946872,0.06369239390531277,0.9266458993456581,0.07335410065434188,0.7632820017711639,0.23671799822883616,0.9759755099641502,0.024024490035849805,0.917311650212574,0.08268834978742598,0.9040904079058253,0.09590959209417467
Albany County,36001000003,0.5868623224697439,0.4131376775302561,0.9621169485437261,0.03788305145627386,0.936701293762015,0.06329870623798493,0.9178733868732972,0.08212661312670282,0.7474947423322875,0.2525052576677125,0.9679402071006478,0.032059792899352284,0.945666028120463,0.054333971879537084,0.9451692791570897,0.054830720842910304,0.6540231327226401,0.3459768672773599,0.9712726003729004,0.028727399627099543,0.9265455828216591,0.07345441717834093,0.9127765394025805,0.0872234605974195,0.5182836925501851,0.4817163074498149,0.962594188360924,0.03740581163907597,0.9346113747884266,0.0653886252115734,0.917980019626528,0.08201998037347205,0.6131432130032178,0.3868567869967822,0.9632757114231753,0.036724288576824735,0.9329810604221915,0.0670189395778085,0.9255468546140928,0.0744531453859072,0.6790372062477216,0.3209627937522784,0.9699858654028949,0.030014134597105148,0.9225420213197576,0.07745797868024239,0.9021097418538753,0.09789025814612469
Albany County,36001000004,0.6609170316698868,0.33908296833011314,0.9730214807001729,0.02697851929982711,0.9501307537661998,0.049869246233800145,0.938209632185773,0.06179036781422693,0.7719382052092603,0.22806179479073976,0.9767859264133506,0.023214073586649387,0.9551156923255844,0.044884307674415674,0.9586845659513177,0.04131543404868232,0.7822882366660242,0.21771176333397577,0.9861100233888912,0.013889976611108884,0.9591882279571222,0.04081177204287783,0.9509498769041391,0.049050123095860834,0.6361810595099393,0.36381894049006075,0.9755538141757484,0.024446185824251586,0.9566108022967867,0.04338919770321323,0.9384664082258555,0.06153359177414454,0.7842966919229247,0.21570330807707522,0.9816158382718039,0.018384161728196142,0.9653909076152218,0.03460909238477819,0.9583862149675568,0.041613785032443146,0.6619565956075891,0.33804340439241093,0.9701749058915665,0.029825094108433477,0.9187579728265582,0.08124202717344176,0.9177292878226411,0.08227071217735897
Albany County,36001000005,0.6145654969137021,0.3854345030862979,0.9571700149149077,0.042829985085092274,0.9465404854346839,0.053459514565316085,0.9417955973275421,0.05820440267245783,0.7302148524516766,0.26978514754832317,0.9536050111001195,0.04639498889988053,0.9393781297191993,0.0606218702808007,0.9582588038127784,0.04174119618722159,0.659397535859051,0.3406024641409489,0.9539180535572785,0.04608194644272146,0.9309354598871349,0.06906454011286511,0.936616430364884,0.06338356963511607,0.5093106435036905,0.4906893564963095,0.9505764357899621,0.04942356421003795,0.9339492217578752,0.06605077824212482,0.9261313861276188,0.07386861387238125,0.6105793374102502,0.3894206625897496,0.9556757084419849,0.04432429155801512,0.9393543036334432,0.06064569636655683,0.9377033584795185,0.0622966415204815,0.6457166417528623,0.35428335824713775,0.953346350100543,0.046653649899457,0.9164995276382611,0.0835004723617389,0.9326049534715576,0.06739504652844246
Albany County,36001000006,0.7294948715128637,0.27050512848713626,0.9942948272748815,0.005705172725118546,0.9598956013670152,0.04010439863298471,0.9484665859693833,0.05153341403061672,0.8520299063130666,0.14797009368693337,0.9908546415325938,0.009145358467406129,0.9736602347533221,0.026339765246677905,0.973848065205425,0.026151934794575043,0.7875030003762663,0.21249699962373375,0.9887425921870361,0.011257407812963862,0.9567380885972979,0.0432619114027021,0.9515879005587159,0.04841209944128413,0.746874107704244,0.253125892295756,0.9865416186088957,0.013458381391104373,0.9694975835411334,0.030502416458866692,0.9503444110647525,0.049655588935247505,0.8052489615035745,0.19475103849642553,0.9904021230910788,0.009597876908921171,0.9707231719254715,0.029276828074528517,0.9582876914945582,0.041712308505441796,0.6772646552844034,0.3227353447155966,0.9810223455566478,0.018977654443352244,0.9188314503414251,0.08116854965857492,0.9131011143871464,0.0868988856128537
Albany County,36001000007,0.702885510866533,0.2971144891334671,0.9861101015150957,0.013889898484904338,0.9522829782437758,0.04771702175622416,0.9328759785002394,0.06712402149976061,0.8061245699698866,0.1938754300301134,0.9887325318180968,0.011267468181903127,0.9559577704263482,0.044042229573651816,0.9523767973358128,0.04762320266418713,0.6805155435360661,0.31948445646393386,0.9805329376064775,0.019467062393522444,0.9346707045781897,0.06532929542181032,0.9219862244142026,0.07801377558579732,0.537059551141027,0.46294044885897306,0.977721098839007,0.022278901160993004,0.9371936358749149,0.0628063641250851,0.9188162979220897,0.08118370207791022,0.7038600392023208,0.29613996079767924,0.9854938316761076,0.014506168323892385,0.9472203278601649,0.0527796721398352,0.9344345825052923,0.06556541749470765,0.6483814317977492,0.3516185682022508,0.9785848270974201,0.02141517290257982,0.9100639755824013,0.08993602441759872,0.898580470073185,0.10141952992681498
Albany County,36001000008,0.5343988918821471,0.46560110811785294,0.9625944963755435,0.03740550362445629,0.9410143793077188,0.058985620692281186,0.9157789252602889,0.08422107473971108,0.6949592271359765,0.30504077286402353,0.9672878841944861,0.03271211580551391,0.9423884369479022,0.05761156305209782,0.9380716565966573,0.06192834340334273,0.6885216809194576,0.31147831908054235,0.9786988479777714,0.021301152022228577,0.9489783443699757,0.05102165563002425,0.929105708726915,0.07089429127308475,0.5750316847857654,0.42496831521423456,0.9807260407149093,0.019273959285090653,0.9598585430980932,0.04014145690190682,0.9259842968638525,0.07401570313614744,0.6610336757938214,0.33896632420617856,0.9785604432767687,0.021439556723231095,0.9603122382742905,0.03968776172570954,0.9351665195012662,0.06483348049873386,0.5666707576853938,0.43332924231460623,0.9694962246045656,0.03050377539543422,0.906498163439788,0.09350183656021203,0.88345030306865,0.11654969693134995
Albany County,36001000009,0.6138843168271425,0.3861156831728577,0.9746563836521482,0.02534361634785173,0.9527453001617558,0.04725469983824412,0.9396215142356682,0.060378485764331774,0.7740978757330835,0.2259021242669167,0.9808130331189937,0.019186966881006236,0.9677802570469973,0.03221974295300269,0.9714388999554268,0.028561100044573254,0.6658295216433842,0.33417047835661606,0.9751530419822161,0.024846958017783884,0.9464112817860904,0.05358871821390963,0.9381636205756859,0.06183637942431412,0.5377940082727816,0.46220599172721866,0.9719186196107016,0.028081380389298416,0.9495961133779911,0.0504038866220089,0.9296338847679865,0.0703661152320135,0.5704942447634307,0.4295057552365695,0.9639161884919604,0.03608381150803966,0.9323235800428642,0.06767641995713583,0.9269958585783669,0.07300414142163308,0.6371775815610663,0.3628224184389339,0.972046902867238,0.027953097132761923,0.9257770211728943,0.07422297882710573,0.912884257600629,0.08711574239937099
Albany County,36001000010,0.5083738379930183,0.4916261620069817,0.9443620703071135,0.05563792969288646,0.959865718520255,0.040134281479745,0.910020530092719,0.08997946990728098,0.6638049597376101,0.3361950402623899,0.9172107097560221,0.0827892902439779,0.9200574845784758,0.07994251542152417,0.9077049300840553,0.09229506991594467,0.6752158396565099,0.3247841603434901,0.9851236452446311,0.014876354755368831,0.9298225875652045,0.07017741243479547,0.931865926763265,0.06813407323673501,0.5562652047818926,0.44373479521810744,0.9824606100315529,0.01753938996844701,0.9395039796983627,0.060496020301637296,0.9245913204813428,0.07540867951865719,0.6414315184912549,0.35856848150874504,0.985551135236081,0.014448864763919017,0.9399127106053401,0.06008728939465994,0.9350594647569261,0.0649405352430739,0.5637462375049948,0.43625376249500525,0.9625790282618861,0.03742097173811385,0.8808343207618174,0.11916567923818253,0.8862461242369924,0.11375387576300752
